Tree ID,Date,Easting,Northing,Species,DBH,Height,Crown height ,Crown radius,Crown completeness,,Tags
acde070d-8c4c-4f0d-9d8a-162843c10333 ,2024-07-30,1248801.08378196,6815476.12144619,Fagus,0.15,13,9.1,2,1,,
f2224073-5329-46a2-a3be-db6e8e0a0560,2024-07-30,1248808.91074149,6815476.06085289,Pinus,0.5,31,21.7,3.4,0.7,,Bark Beetle
baf16793-f2ba-4860-abb1-b1e36df6ec59,2024-07-30,1248787.82565935,6815455.95281803,Pinus,0.501011431217194,30.3181438446045,21.2227006912231,3.37156629562378,0,,
acde070d-8c4c-4f0d-9d8a-162843c10333,2022-06-26,1248801.08378196,6815476.12144619,Fagus,0.100149065256119,12.7217950820923,8.9052565574646,1.91672921180725,0.5,,Bark beetle;Damaged
f2224073-5329-46a2-a3be-db6e8e0a0560,2022-06-26,1248808.91074149,6815476.06085289,Pinus,0.499027878046036,30.2544975280762,21.1781482696533,3.35932016372681,0.7,,Bark Beetle
baf16793-f2ba-4860-abb1-b1e36df6ec59,2022-06-26,1248787.82565935,6815455.95281803,Pinus,0.501011431217194,30.3181438446045,21.2227006912231,3.37156629562378,0.1,,Damaged;Wind fall
b34db285-ee16-42be-a232-fbdca2cccd91,2022-06-26,1248787.00368494,6815457.93284541,Fagus,0.110270269215107,13.4967041015625,9.44769287109375,1.98658227920532,1,,
c0275506-ca02-4707-9ecd-b4f588e538b1,2022-06-26,1248797.30888722,6815469.76979321,Pinus,0.463088750839233,29.065731048584,20.3460117340088,3.13743448257446,1,,
5ee99a99-d327-4a60-9d4a-547fc589fe89,2022-06-26,1248800.98923702,6815464.33007919,Fagus,0.0777570009231567,10.8701791763306,7.6091254234314,1.76218712329865,1,,
fe8430ca-3db5-48e4-b815-74eb536bdbf6,2022-06-26,1248807.86605058, 6815464.07052943,Fagus,0.0960568785667419,12.3984050750732,8.67888355255127,1.88848638534546,1,,
8,2022-06-26,1248808.30324979,6815467.59215424,Fagus,0.181709036231041,18.2085304260254,12.7459712982178,2.47962737083435,1,,
9,2022-06-26,1248807.31339623,6815470.40814117,Fagus,0.142632827162743,15.7738513946533,11.0416959762573,2.20993733406067,1,,
10,2022-06-26,1248807.63375583,6815473.72157277,Fagus,0.0950548499822617,12.3182764053345,8.62279348373413,1.88157069683075,1,,
11,2022-06-26,1248804.80782842,6815470.72925876,Fagus,0.0777570009231567,10.8701791763306,7.6091254234314,1.76218712329865,1,,
12,2022-06-26,1248804.73992821,6815458.69272731,Quercus,0.567893981933594,31.3736743927002,21.9615720748901,5.08504104614258,1,,
13,2022-06-26,1248806.73625327,6815461.33577366,Fagus,0.127536773681641,14.7460870742798,10.3222609519959,2.10574960708618,1,,
14,2022-06-26,1248808.73108179,6815460.99772232,Fagus,0.110270269215107,13.4967041015625,9.44769287109375,1.98658227920532,1,,
15,2022-06-26,1248800.83295499,6815470.55780497, Fagus,0.129542469978333,14.8858871459961,10.4201210021973,2.11959218978882,1,,
16,2022-06-26,1248802.47188786,6815464.3009475,Fagus,0.0625244900584221,9.47406482696533,6.63184537887573,1.65705764293671,1,,
17,2022-06-26,1248801.23887126 ,6815461.32499708,Fagus,0.134594202041626,15.2334775924683,10.6634343147278,2.15445756912231,1,,
18,2022-06-26,1248801.63361814,6815458.28288966,Fagus ,0.0838524028658867,11.3952789306641,7.97669525146484,1.80425536632538,1,,
19,2022-06-26,1248800.7053549,6815458.00181011,Fagus,0.0960568785667419,12.3984050750732,8.67888355255127,1.88848638534546,1,,
20,2022-06-26,1248794.95031218,6815461.15926001,Fagus,0.122462786734104,14.3876781463623,10.0713747024536,2.07073068618774,1,,
21,2022-06-26,1248794.97786871,6815463.71600915,Fagus,0.0554753541946411,8.77980899810791,6.14586629867554,1.60840702056885,1,,
22,2022-06-26,1248794.91458853,6815455.29581221,Fagus,0.107256434857845,13.2695016860962,9.28865118026733,1.96578180789948,1,,
23,2022-06-26,1248795.7014794,6815454.45718646,Fagus,0.0554753541946411,8.77980899810791,6.14586629867554,1.60840702056885,1,,
24,2022-06-26,1248801.01288903,6815454.60398723,Fagus,0.137600854039192,15.4373750686646,10.8061625480652,2.17520833015442,1,,
25,2022-06-26,1248806.39373657,6815452.33768008,Fagus,0.102152772247791,12.8779525756836,9.01456680297851,1.93055808544159,1,,
26,2022-06-26,1248802.47180606,6815467.6567746,Fagus,0.12853966653347,14.8161211013794,10.3712847709656,2.11267113685608,1,,
27,2022-06-26,1248803.74467922,6815467.56890772,Fagus,0.0595176927745342,9.18212127685547,6.42748489379883,1.636305809021,1,,
28,2022-06-26,1248803.04099239,6815470.60419297,Fagus,0.0777570009231567,10.8701791763306,7.6091254234314,1.76218712329865,1,,
29,2022-06-26,1248793.49509915,6815475.52311514,Fagus,0.134594202041626, 15.2334775924683,10.6634343147278,2.15445756912231,1,,
30,2022-06-26,1248790.92431978,6815473.01169199,Fagus,0.142632827162743,15.7738513946533,11.0416959762573,2.20993733406067,1,,
31,2022-06-26,1248790.72080631,6815469.90645602,Fagus,0.162690445780754,17.0603504180908,11.9422452926636,2.34836792945862,1,,
32,2022-06-26,1248784.64700452,6815474.81670431,Pinus,0.0512318760156632,6.47969102859497,4.53578372001648,0.594657838344574,1,,
33,2022-06-26,1248783.52342693,6815473.48318485,Picea,0.0510615520179272,4.75858020782471,3.33100614547729,0.919577956199646,1,,
34,2022-06-26,1248802.62429855,6815463.27469611,Fagus,0.0514398366212845,8.36598014831543,5.8561861038208,1.58055531978607,1,,
